CATEGORIE;EPREUVE;COEFFICIENT;
R1 : 100 - 119 ans;4x100 4 Nages Messieurs;1.000;
R1 : 100 - 119 ans;6x50 Nage Libre Mixtes;1.074;
R1 : 100 - 119 ans;6x50 Nage Libre Dames;1.000;
R1 : 100 - 119 ans;6x50 Nage Libre Messieurs;1.000;
R1 : 100 - 119 ans;8x50 Nage Libre Dames;1.000;
R1 : 100 - 119 ans;8x50 Nage Libre Messieurs;1.000;
R1 : 100 - 119 ans;8x50 Nage Libre Mixtes;1.074;
R1 : 100 - 119 ans;8x100 Nage Libre Dames;1.000;
R1 : 100 - 119 ans;8x100 Nage Libre Messieurs;1.000;
R1 : 100 - 119 ans;8x100 Nage Libre Mixtes;1.063;
R1 : 100 - 119 ans;10x50 Nage Libre Dames;1.000;
R1 : 100 - 119 ans;10x50 Nage Libre Messieurs;1.000;
R1 : 100 - 119 ans;10x50 Nage Libre Mixtes;1.074;
R1 : 100 - 119 ans;10x100 Nage Libre Dames;1.000;
R1 : 100 - 119 ans;10x100 Nage Libre Mixtes;1.063;
R1 : 100 - 119 ans;10x100 Nage Libre Messieurs;1.000;
R1 : 100 - 119 ans;12x50 Nage Libre Mixtes;1.074;
R2 : 120 - 159 ans;4x50 Nage Libre Dames;1.007;
R2 : 120 - 159 ans;4x50 Nage Libre Mixtes;1.081;
R2 : 120 - 159 ans;4x50 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;4x100 Nage Libre Dames;1.010;
R2 : 120 - 159 ans;4x100 Nage Libre Mixtes;1.072;
R2 : 120 - 159 ans;4x100 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;4x200 Nage Libre Mixtes;1.061;
R2 : 120 - 159 ans;4x200 Nage Libre Dames;1.010;
R2 : 120 - 159 ans;4x200 Nage Libre Messieurs;1.007;
R2 : 120 - 159 ans;4x50 4 Nages Mixtes;1.076;
R2 : 120 - 159 ans;4x50 4 Nages Dames;1.011;
R2 : 120 - 159 ans;4x50 4 Nages Messieurs;1.006;
R2 : 120 - 159 ans;4x100 4 Nages Mixtes;1.071;
R2 : 120 - 159 ans;4x100 4 Nages Dames;1.013;
R2 : 120 - 159 ans;4x100 4 Nages Messieurs;1.006;
R2 : 120 - 159 ans;6x50 Nage Libre Mixtes;1.081;
R2 : 120 - 159 ans;6x50 Nage Libre Dames;1.007;
R2 : 120 - 159 ans;6x50 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;8x50 Nage Libre Dames;1.007;
R2 : 120 - 159 ans;8x50 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;8x50 Nage Libre Mixtes;1.081;
R2 : 120 - 159 ans;8x100 Nage Libre Dames;1.010;
R2 : 120 - 159 ans;8x100 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;8x100 Nage Libre Mixtes;1.072;
R2 : 120 - 159 ans;10x50 Nage Libre Dames;1.007;
R2 : 120 - 159 ans;10x50 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;10x50 Nage Libre Mixtes;1.081;
R2 : 120 - 159 ans;10x100 Nage Libre Dames;1.010;
R2 : 120 - 159 ans;10x100 Nage Libre Mixtes;1.072;
R2 : 120 - 159 ans;10x100 Nage Libre Messieurs;1.006;
R2 : 120 - 159 ans;12x50 Nage Libre Mixtes;1.081;
R3 : 160 - 199 ans;4x50 Nage Libre Dames;1.035;
R3 : 160 - 199 ans;4x50 Nage Libre Mixtes;1.108;
R3 : 160 - 199 ans;4x50 Nage Libre Messieurs;1.029;
R3 : 160 - 199 ans;4x100 Nage Libre Dames;1.047;
R3 : 160 - 199 ans;4x100 Nage Libre Mixtes;1.106;
R3 : 160 - 199 ans;4x100 Nage Libre Messieurs;1.032;
R3 : 160 - 199 ans;4x200 Nage Libre Mixtes;1.097;
R3 : 160 - 199 ans;4x200 Nage Libre Dames;1.050;
R3 : 160 - 199 ans;4x200 Nage Libre Messieurs;1.034;
R3 : 160 - 199 ans;4x50 4 Nages Mixtes;1.111;
R3 : 160 - 199 ans;4x50 4 Nages Dames;1.049;
R3 : 160 - 199 ans;4x50 4 Nages Messieurs;1.032;
R3 : 160 - 199 ans;4x100 4 Nages Mixtes;1.110;
R3 : 160 - 199 ans;4x100 4 Nages Dames;1.058;
R3 : 160 - 199 ans;4x100 4 Nages Messieurs;1.034;
R3 : 160 - 199 ans;6x50 Nage Libre Mixtes;1.108;
R3 : 160 - 199 ans;6x50 Nage Libre Dames;1.035;
R3 : 160 - 199 ans;6x50 Nage Libre Messieurs;1.029;
R3 : 160 - 199 ans;8x50 Nage Libre Dames;1.035;
R3 : 160 - 199 ans;8x50 Nage Libre Messieurs;1.029;
R3 : 160 - 199 ans;8x50 Nage Libre Mixtes;1.108;
R3 : 160 - 199 ans;8x100 Nage Libre Dames;1.047;
R3 : 160 - 199 ans;8x100 Nage Libre Messieurs;1.032;
R3 : 160 - 199 ans;8x100 Nage Libre Mixtes;1.106;
R3 : 160 - 199 ans;10x50 Nage Libre Dames;1.035;
R3 : 160 - 199 ans;10x50 Nage Libre Messieurs;1.029;
R3 : 160 - 199 ans;10x50 Nage Libre Mixtes;1.108;
R3 : 160 - 199 ans;10x100 Nage Libre Dames;1.047;
R3 : 160 - 199 ans;10x100 Nage Libre Mixtes;1.106;
R3 : 160 - 199 ans;10x100 Nage Libre Messieurs;1.032;
R3 : 160 - 199 ans;12x50 Nage Libre Mixtes;1.108;
R4 : 200 - 239 ans;4x50 Nage Libre Dames;1.092;
R4 : 200 - 239 ans;4x50 Nage Libre Mixtes;1.165;
R4 : 200 - 239 ans;4x50 Nage Libre Messieurs;1.077;
R4 : 200 - 239 ans;4x100 Nage Libre Dames;1.116;
R4 : 200 - 239 ans;4x100 Nage Libre Mixtes;1.172;
R4 : 200 - 239 ans;4x100 Nage Libre Messieurs;1.086;
R4 : 200 - 239 ans;4x200 Nage Libre Mixtes;1.167;
R4 : 200 - 239 ans;4x200 Nage Libre Dames;1.123;
R4 : 200 - 239 ans;4x200 Nage Libre Messieurs;1.094;
R4 : 200 - 239 ans;4x50 4 Nages Mixtes;1.179;
R4 : 200 - 239 ans;4x50 4 Nages Dames;1.120;
R4 : 200 - 239 ans;4x50 4 Nages Messieurs;1.089;
R4 : 200 - 239 ans;4x100 4 Nages Mixtes;1.186;
R4 : 200 - 239 ans;4x100 4 Nages Dames;1.138;
R4 : 200 - 239 ans;4x100 4 Nages Messieurs;1.097;
R4 : 200 - 239 ans;6x50 Nage Libre Mixtes;1.165;
R4 : 200 - 239 ans;6x50 Nage Libre Dames;1.092;
R4 : 200 - 239 ans;6x50 Nage Libre Messieurs;1.077;
R4 : 200 - 239 ans;8x50 Nage Libre Dames;1.092;
R4 : 200 - 239 ans;8x50 Nage Libre Messieurs;1.077;
R4 : 200 - 239 ans;8x50 Nage Libre Mixtes;1.165;
R4 : 200 - 239 ans;8x100 Nage Libre Dames;1.116;
R4 : 200 - 239 ans;8x100 Nage Libre Messieurs;1.086;
R4 : 200 - 239 ans;8x100 Nage Libre Mixtes;1.172;
R4 : 200 - 239 ans;10x50 Nage Libre Dames;1.092;
R4 : 200 - 239 ans;10x50 Nage Libre Messieurs;1.077;
R4 : 200 - 239 ans;10x50 Nage Libre Mixtes;1.165;
R4 : 200 - 239 ans;10x100 Nage Libre Dames;1.116;
R4 : 200 - 239 ans;10x100 Nage Libre Mixtes;1.172;
R4 : 200 - 239 ans;10x100 Nage Libre Messieurs;1.086;
R4 : 200 - 239 ans;12x50 Nage Libre Mixtes;1.165;
R5 : 240 - 279 ans;4x50 Nage Libre Dames;1.194;
R5 : 240 - 279 ans;4x50 Nage Libre Mixtes;1.264;
R5 : 240 - 279 ans;4x50 Nage Libre Messieurs;1.159;
R5 : 240 - 279 ans;4x100 Nage Libre Dames;1.236;
R5 : 240 - 279 ans;4x100 Nage Libre Mixtes;1.285;
R5 : 240 - 279 ans;4x100 Nage Libre Messieurs;1.178;
R5 : 240 - 279 ans;4x200 Nage Libre Mixtes;1.289;
R5 : 240 - 279 ans;4x200 Nage Libre Dames;1.250;
R5 : 240 - 279 ans;4x200 Nage Libre Messieurs;1.198;
R5 : 240 - 279 ans;4x50 4 Nages Mixtes;1.296;
R5 : 240 - 279 ans;4x50 4 Nages Dames;1.240;
R5 : 240 - 279 ans;4x50 4 Nages Messieurs;1.188;
R5 : 240 - 279 ans;4x100 4 Nages Mixtes;1.320;
R5 : 240 - 279 ans;4x100 4 Nages Dames;1.275;
R5 : 240 - 279 ans;4x100 4 Nages Messieurs;1.211;
R5 : 240 - 279 ans;6x50 Nage Libre Mixtes;1.264;
R5 : 240 - 279 ans;6x50 Nage Libre Dames;1.194;
R5 : 240 - 279 ans;6x50 Nage Libre Messieurs;1.159;
R5 : 240 - 279 ans;8x50 Nage Libre Dames;1.194;
R5 : 240 - 279 ans;8x50 Nage Libre Messieurs;1.159;
R5 : 240 - 279 ans;8x50 Nage Libre Mixtes;1.264;
R5 : 240 - 279 ans;8x100 Nage Libre Dames;1.236;
R5 : 240 - 279 ans;8x100 Nage Libre Messieurs;1.178;
R5 : 240 - 279 ans;8x100 Nage Libre Mixtes;1.285;
R5 : 240 - 279 ans;10x50 Nage Libre Dames;1.194;
R5 : 240 - 279 ans;10x50 Nage Libre Messieurs;1.159;
R5 : 240 - 279 ans;10x50 Nage Libre Mixtes;1.264;
R5 : 240 - 279 ans;10x100 Nage Libre Dames;1.236;
R5 : 240 - 279 ans;10x100 Nage Libre Mixtes;1.285;
R5 : 240 - 279 ans;10x100 Nage Libre Messieurs;1.178;
R5 : 240 - 279 ans;12x50 Nage Libre Mixtes;1.264;
R6 : 280 - 319 ans;4x50 Nage Libre Dames;1.364;
R6 : 280 - 319 ans;4x50 Nage Libre Mixtes;1.428;
R6 : 280 - 319 ans;4x50 Nage Libre Messieurs;1.292;
R6 : 280 - 319 ans;4x100 Nage Libre Dames;1.434;
R6 : 280 - 319 ans;4x100 Nage Libre Mixtes;1.473;
R6 : 280 - 319 ans;4x100 Nage Libre Messieurs;1.330;
R6 : 280 - 319 ans;4x200 Nage Libre Mixtes;1.493;
R6 : 280 - 319 ans;4x200 Nage Libre Dames;1.463;
R6 : 280 - 319 ans;4x200 Nage Libre Messieurs;1.371;
R6 : 280 - 319 ans;4x50 4 Nages Mixtes;1.492;
R6 : 280 - 319 ans;4x50 4 Nages Dames;1.439;
R6 : 280 - 319 ans;4x50 4 Nages Messieurs;1.354;
R6 : 280 - 319 ans;4x100 4 Nages Mixtes;1.549;
R6 : 280 - 319 ans;4x100 4 Nages Dames;1.506;
R6 : 280 - 319 ans;4x100 4 Nages Messieurs;1.409;
R6 : 280 - 319 ans;6x50 Nage Libre Mixtes;1.428;
R6 : 280 - 319 ans;6x50 Nage Libre Dames;1.364;
R6 : 280 - 319 ans;6x50 Nage Libre Messieurs;1.292;
R6 : 280 - 319 ans;8x50 Nage Libre Dames;1.364;
R6 : 280 - 319 ans;8x50 Nage Libre Messieurs;1.292;
R6 : 280 - 319 ans;8x50 Nage Libre Mixtes;1.428;
R6 : 280 - 319 ans;8x100 Nage Libre Dames;1.434;
R6 : 280 - 319 ans;8x100 Nage Libre Messieurs;1.330;
R6 : 280 - 319 ans;8x100 Nage Libre Mixtes;1.473;
R6 : 280 - 319 ans;10x50 Nage Libre Dames;1.364;
R6 : 280 - 319 ans;10x50 Nage Libre Messieurs;1.292;
R6 : 280 - 319 ans;10x50 Nage Libre Mixtes;1.428;
R6 : 280 - 319 ans;10x100 Nage Libre Dames;1.434;
R6 : 280 - 319 ans;10x100 Nage Libre Mixtes;1.473;
R6 : 280 - 319 ans;10x100 Nage Libre Messieurs;1.330;
R6 : 280 - 319 ans;12x50 Nage Libre Mixtes;1.428;
R7 : 320 - 359 ans;4x50 Nage Libre Dames;1.647;
R7 : 320 - 359 ans;4x50 Nage Libre Mixtes;1.697;
R7 : 320 - 359 ans;4x50 Nage Libre Messieurs;1.505;
R7 : 320 - 359 ans;4x100 Nage Libre Dames;1.765;
R7 : 320 - 359 ans;4x100 Nage Libre Mixtes;1.783;
R7 : 320 - 359 ans;4x100 Nage Libre Messieurs;1.577;
R7 : 320 - 359 ans;4x200 Nage Libre Mixtes;1.838;
R7 : 320 - 359 ans;4x200 Nage Libre Dames;1.823;
R7 : 320 - 359 ans;4x200 Nage Libre Messieurs;1.662;
R7 : 320 - 359 ans;4x50 4 Nages Mixtes;1.817;
R7 : 320 - 359 ans;4x50 4 Nages Dames;1.768;
R7 : 320 - 359 ans;4x50 4 Nages Messieurs;1.632;
R7 : 320 - 359 ans;4x100 4 Nages Mixtes;1.944;
R7 : 320 - 359 ans;4x100 4 Nages Dames;1.898;
R7 : 320 - 359 ans;4x100 4 Nages Messieurs;1.760;
R7 : 320 - 359 ans;6x50 Nage Libre Mixtes;1.697;
R7 : 320 - 359 ans;6x50 Nage Libre Dames;1.647;
R7 : 320 - 359 ans;6x50 Nage Libre Messieurs;1.505;
R7 : 320 - 359 ans;8x50 Nage Libre Dames;1.647;
R7 : 320 - 359 ans;8x50 Nage Libre Messieurs;1.505;
R7 : 320 - 359 ans;8x50 Nage Libre Mixtes;1.697;
R7 : 320 - 359 ans;8x100 Nage Libre Dames;1.765;
R7 : 320 - 359 ans;8x100 Nage Libre Messieurs;1.577;
R7 : 320 - 359 ans;8x100 Nage Libre Mixtes;1.783;
R7 : 320 - 359 ans;10x50 Nage Libre Dames;1.647;
R7 : 320 - 359 ans;10x50 Nage Libre Messieurs;1.505;
R7 : 320 - 359 ans;10x50 Nage Libre Mixtes;1.697;
R7 : 320 - 359 ans;10x100 Nage Libre Dames;1.765;
R7 : 320 - 359 ans;10x100 Nage Libre Mixtes;1.783;
R7 : 320 - 359 ans;10x100 Nage Libre Messieurs;1.577;
R7 : 320 - 359 ans;12x50 Nage Libre Mixtes;1.697;
R8 : 360 ans et plus;4x50 Nage Libre Dames;2.132;
R8 : 360 ans et plus;4x50 Nage Libre Mixtes;2.147;
R8 : 360 ans et plus;4x50 Nage Libre Messieurs;1.849;
R8 : 360 ans et plus;4x100 Nage Libre Dames;2.337;
R8 : 360 ans et plus;4x100 Nage Libre Mixtes;2.310;
R8 : 360 ans et plus;4x100 Nage Libre Messieurs;1.987;
R8 : 360 ans et plus;4x200 Nage Libre Mixtes;2.436;
R8 : 360 ans et plus;4x200 Nage Libre Dames;2.455;
R8 : 360 ans et plus;4x200 Nage Libre Messieurs;2.161;
R8 : 360 ans et plus;4x50 4 Nages Mixtes;2.378;
R8 : 360 ans et plus;4x50 4 Nages Dames;2.336;
R8 : 360 ans et plus;4x50 4 Nages Messieurs;2.111;
R8 : 360 ans et plus;4x100 4 Nages Mixtes;2.666;
R8 : 360 ans et plus;4x100 4 Nages Dames;2.598;
R8 : 360 ans et plus;4x100 4 Nages Messieurs;2.421;
R8 : 360 ans et plus;6x50 Nage Libre Mixtes;2.147;
R8 : 360 ans et plus;6x50 Nage Libre Dames;2.132;
R8 : 360 ans et plus;6x50 Nage Libre Messieurs;1.849;
R8 : 360 ans et plus;8x50 Nage Libre Dames;2.132;
R8 : 360 ans et plus;8x50 Nage Libre Messieurs;1.849;
R8 : 360 ans et plus;8x50 Nage Libre Mixtes;2.147;
R8 : 360 ans et plus;8x100 Nage Libre Dames;2.337;
R8 : 360 ans et plus;8x100 Nage Libre Messieurs;1.987;
R8 : 360 ans et plus;8x100 Nage Libre Mixtes;2.310;
R8 : 360 ans et plus;10x50 Nage Libre Dames;2.132;
R8 : 360 ans et plus;10x50 Nage Libre Messieurs;1.849;
R8 : 360 ans et plus;10x50 Nage Libre Mixtes;2.147;
R8 : 360 ans et plus;10x100 Nage Libre Dames;2.337;
R8 : 360 ans et plus;10x100 Nage Libre Mixtes;2.310;
R8 : 360 ans et plus;10x100 Nage Libre Messieurs;1.987;
R8 : 360 ans et plus;12x50 Nage Libre Mixtes;2.147;
